,Country,Code,Year,Life expectancy,GDP per capita,"Total population (Gapminder, HYDE & UN)",Continent
0,Afghanistan,AFG,2015,63.376999999999995,1928.0,34414000.0,Asia
1,Albania,ALB,2015,78.025,10032.0,2891000.0,Europe
2,Algeria,DZA,2015,76.09,14004.0,39728000.0,Africa
3,Angola,AGO,2015,59.398,8689.0,27884000.0,Africa
4,Argentina,ARG,2015,76.068,19502.0,43075000.0,South America
5,Armenia,ARM,2015,74.467,10042.0,2926000.0,Asia
6,Australia,AUS,2015,82.794,48357.0,23932000.0,Oceania
7,Austria,AUT,2015,81.182,41294.0,8679000.0,Europe
8,Azerbaijan,AZE,2015,72.266,17460.0,9623000.0,Asia
9,Bahrain,BHR,2015,76.762,40483.0,1372000.0,Asia
10,Bangladesh,BGD,2015,71.514,3402.0,156256000.0,Asia
11,Barbados,BRB,2015,78.801,11849.0,285000.0,North America
12,Belarus,BLR,2015,73.652,18136.0,9439000.0,Europe
13,Belgium,BEL,2015,80.969,38569.0,11288000.0,Europe
14,Benin,BEN,2015,60.608000000000004,2055.0,10576000.0,Africa
15,Bolivia,BOL,2015,70.277,6200.0,10870000.0,South America
16,Bosnia and Herzegovina,BIH,2015,76.865,9495.0,3429000.0,Europe
17,Botswana,BWA,2015,67.33800000000001,14805.0,2121000.0,Africa
18,Brazil,BRA,2015,74.994,15826.0,204472000.0,South America
19,Bulgaria,BGR,2015,74.584,16373.0,7200000.0,Europe
20,Burkina Faso,BFA,2015,59.919,1450.0,18111000.0,Africa
21,Burundi,BDI,2015,60.123000000000005,694.0,10160000.0,Africa
22,Cambodia,KHM,2015,68.637,3086.0,15521000.0,Asia
23,Cameroon,CMR,2015,57.583,2778.0,23298000.0,Africa
24,Canada,CAN,2015,82.02600000000001,43619.0,36027000.0,North America
25,Cape Verde,CPV,2015,72.117,6266.0,525000.0,Africa
26,Central African Republic,CAF,2015,50.881,576.0,4493000.0,Africa
27,Chad,TCD,2015,53.137,2384.0,14111000.0,Africa
28,Chile,CHL,2015,79.646,21589.0,17969000.0,South America
29,China,CHN,2015,75.928,12244.0,1406848000.0,Asia
30,Colombia,COL,2015,76.531,13218.0,47521000.0,South America
31,Comoros,COM,2015,63.471000000000004,1696.0,777000.0,Africa
32,Congo,COG,2015,63.097,6272.0,4856000.0,Africa
33,Costa Rica,CRI,2015,79.565,13677.0,4848000.0,North America
34,Cote d'Ivoire,CIV,2015,56.065,3218.0,23226000.0,Africa
35,Croatia,HRV,2015,77.892,19698.0,4233000.0,Europe
36,Cuba,CUB,2015,78.561,7889.0,11325000.0,North America
37,Cyprus,CYP,2015,80.35,24963.0,1161000.0,Europe
38,Czechia,CZE,2015,78.692,28194.0,10601000.0,Europe
39,Democratic Republic of Congo,COD,2015,59.254,836.0,76245000.0,Africa
40,Denmark,DNK,2015,80.475,44635.0,5689000.0,Europe
41,Djibouti,DJI,2015,64.13600000000001,2941.0,914000.0,Africa
42,Dominica,DMA,2015,74.194,9319.0,71000.0,North America
43,Dominican Republic,DOM,2015,73.241,13762.0,10282000.0,North America
44,Ecuador,ECU,2015,76.143,10905.0,16212000.0,South America
45,Egypt,EGY,2015,71.30199999999999,11159.0,92443000.0,Africa
46,El Salvador,SLV,2015,72.41199999999999,8109.0,6325000.0,North America
47,Equatorial Guinea,GNQ,2015,57.358999999999995,37822.0,1169000.0,Africa
48,Estonia,EST,2015,77.783,24493.0,1315000.0,Europe
49,Eswatini,SWZ,2015,55.358999999999995,7969.0,1104000.0,Africa
50,Ethiopia,ETH,2015,65.048,1553.0,100835000.0,Africa
51,Finland,FIN,2015,81.196,36836.0,5481000.0,Europe
52,France,FRA,2015,82.22399999999999,36827.0,64453000.0,Europe
53,Gabon,GAB,2015,64.913,18389.0,1948000.0,Africa
54,Gambia,GMB,2015,60.91,1786.0,2086000.0,Africa
55,Georgia,GEO,2015,72.973,10603.0,4024000.0,Asia
56,Germany,DEU,2015,80.77,44293.0,81787000.0,Europe
57,Ghana,GHA,2015,62.772,3809.0,27849000.0,Africa
58,Greece,GRC,2015,81.548,22442.0,10660000.0,Europe
59,Guatemala,GTM,2015,73.25,7138.0,16252000.0,North America
60,Guinea,GIN,2015,59.598,1364.0,11432000.0,Africa
61,Guinea-Bissau,GNB,2015,56.958999999999996,1393.0,1737000.0,Africa
62,Haiti,HTI,2015,62.485,1742.0,10696000.0,North America
63,Honduras,HND,2015,74.495,4706.0,9113000.0,North America
64,Hong Kong,HKG,2015,84.04299999999999,47777.0,7186000.0,Asia
65,Hungary,HUN,2015,76.006,22788.0,9778000.0,Europe
66,Iceland,ISL,2015,82.48100000000001,39727.0,330000.0,Europe
67,India,IND,2015,68.607,5794.0,1310151936.0,Asia
68,Indonesia,IDN,2015,70.768,10484.0,258383008.0,Asia
69,Iran,IRN,2015,75.796,16253.0,78492000.0,Asia
70,Iraq,IRQ,2015,69.929,13014.0,35572000.0,Asia
71,Ireland,IRL,2015,81.344,54278.0,4652000.0,Europe
72,Israel,ISR,2015,82.34,30954.0,7978000.0,Asia
73,Italy,ITA,2015,82.82799999999999,33118.0,60578000.0,Europe
74,Jamaica,JAM,2015,74.098,7024.0,2891000.0,North America
75,Japan,JPN,2015,83.87899999999999,37031.0,127985000.0,Asia
76,Jordan,JOR,2015,74.078,11519.0,9267000.0,Asia
77,Kazakhstan,KAZ,2015,71.319,23850.0,17572000.0,Asia
78,Kenya,KEN,2015,64.798,3046.0,47878000.0,Africa
79,Kuwait,KWT,2015,75.13,71354.0,3836000.0,Asia
80,Kyrgyzstan,KGZ,2015,70.876,4754.0,5959000.0,Asia
81,Laos,LAO,2015,66.546,5559.0,6741000.0,Asia
82,Latvia,LVA,2015,74.733,21488.0,1998000.0,Europe
83,Lebanon,LBN,2015,78.768,12953.0,6533000.0,Asia
84,Lesotho,LSO,2015,51.038000000000004,2710.0,2059000.0,Africa
85,Liberia,LBR,2015,62.269,865.0,4472000.0,Africa
86,Libya,LBY,2015,72.12100000000001,8514.0,6418000.0,Africa
87,Lithuania,LTU,2015,74.923,23889.0,2932000.0,Europe
88,Luxembourg,LUX,2015,81.63600000000001,55972.0,567000.0,Europe
89,Madagascar,MDG,2015,65.539,1360.0,24234000.0,Africa
90,Malawi,MWI,2015,61.953,1124.0,16745000.0,Africa
91,Malaysia,MYS,2015,75.461,22432.0,30271000.0,Asia
92,Mali,MLI,2015,57.50899999999999,1553.0,17439000.0,Africa
93,Malta,MLT,2015,81.896,28700.0,434000.0,Europe
94,Mauritania,MRT,2015,63.93600000000001,3424.0,4046000.0,Africa
95,Mauritius,MUS,2015,74.5,18322.0,1259000.0,Africa
96,Mexico,MEX,2015,74.904,16096.0,121858000.0,North America
97,Moldova,MDA,2015,71.47800000000001,5775.0,4071000.0,Europe
98,Mongolia,MNG,2015,69.111,12398.0,2998000.0,Asia
99,Montenegro,MNE,2015,76.452,17249.0,627000.0,Europe
100,Morocco,MAR,2015,75.726,8001.0,34664000.0,Africa
101,Mozambique,MOZ,2015,57.206,1103.0,27042000.0,Africa
102,Myanmar,MMR,2015,65.81,5021.0,52681000.0,Asia
103,Namibia,NAM,2015,62.119,9462.0,2315000.0,Africa
104,Nepal,NPL,2015,69.515,2455.0,27015000.0,Asia
105,Netherlands,NLD,2015,81.715,44869.0,16938000.0,Europe
106,New Zealand,NZL,2015,81.71300000000001,33696.0,4615000.0,Oceania
107,Nicaragua,NIC,2015,73.649,4866.0,6223000.0,North America
108,Niger,NER,2015,60.631,913.0,20002000.0,Africa
109,Nigeria,NGA,2015,53.111999999999995,5578.0,181136992.0,Africa
110,North Korea,PRK,2015,71.48100000000001,1762.52,25184000.0,Asia
111,North Macedonia,MKD,2015,75.406,12371.0,2079000.0,Europe
112,Norway,NOR,2015,81.91199999999999,82713.0,5200000.0,Europe
113,Oman,OMN,2015,76.887,38738.0,4267000.0,Asia
114,Pakistan,PAK,2015,66.577,5030.0,199427008.0,Asia
115,Palestine,PSE,2015,73.442,5003.0,4529000.0,Asia
116,Panama,PAN,2015,77.77600000000001,20723.0,3968000.0,North America
117,Paraguay,PRY,2015,73.66199999999999,8539.0,6689000.0,South America
118,Peru,PER,2015,75.792,11445.0,30471000.0,South America
119,Philippines,PHL,2015,70.64399999999999,7047.0,102113000.0,Asia
120,Poland,POL,2015,77.859,24177.0,38034000.0,Europe
121,Portugal,PRT,2015,81.22399999999999,24915.0,10368000.0,Europe
122,Puerto Rico,PRI,2015,79.52,35384.0,3382000.0,North America
123,Qatar,QAT,2015,79.758,156029.0,2566000.0,Asia
124,Romania,ROU,2015,75.476,19320.0,19925000.0,Europe
125,Russia,RUS,2015,71.464,23691.0,144984992.0,Europe
126,Rwanda,RWA,2015,67.45,1693.0,11369000.0,Africa
127,Saint Lucia,LCA,2015,75.596,10185.0,179000.0,North America
128,Sao Tome and Principe,STP,2015,69.377,3545.0,199000.0,Africa
129,Saudi Arabia,SAU,2015,74.65100000000001,51681.0,31718000.0,Asia
130,Senegal,SEN,2015,66.747,2311.0,14578000.0,Africa
131,Serbia,SRB,2015,75.309,12765.0,8877000.0,Europe
132,Seychelles,SYC,2015,73.182,25690.0,95000.0,Africa
133,Sierra Leone,SLE,2015,52.941,1563.0,7172000.0,Africa
134,Singapore,SGP,2015,82.87700000000001,65660.0,5592000.0,Asia
135,Slovakia,SVK,2015,76.827,24588.0,5436000.0,Europe
136,Slovenia,SVN,2015,80.673,26268.0,2071000.0,Europe
137,South Africa,ZAF,2015,62.648999999999994,12246.0,55386000.0,Africa
138,South Korea,KOR,2015,82.1,35269.0,50823000.0,Asia
139,Spain,ESP,2015,82.98100000000001,31847.0,46672000.0,Europe
140,Sri Lanka,LKA,2015,76.316,10763.0,20908000.0,Asia
141,Sudan,SDN,2015,64.429,3625.0,38903000.0,Africa
142,Sweden,SWE,2015,82.251,43746.0,9765000.0,Europe
143,Switzerland,CHE,2015,83.14200000000001,59307.0,8297000.0,Europe
144,Syria,SYR,2015,69.908,3049.0,17997000.0,Asia
145,Taiwan,TWN,2015,79.743,41668.0,23557000.0,Asia
146,Tajikistan,TJK,2015,70.137,3789.0,8454000.0,Asia
147,Tanzania,TZA,2015,63.111000000000004,2566.0,51483000.0,Africa
148,Thailand,THA,2015,76.09100000000001,15020.0,68715000.0,Asia
149,Togo,TGO,2015,59.927,1370.0,7323000.0,Africa
150,Trinidad and Tobago,TTO,2015,72.941,30702.0,1370000.0,North America
151,Tunisia,TUN,2015,75.922,11060.0,11180000.0,Africa
152,Turkey,TUR,2015,76.532,19836.0,78529000.0,Asia
153,Turkmenistan,TKM,2015,67.704,22675.0,5565000.0,Asia
154,Uganda,UGA,2015,61.373000000000005,1954.0,38225000.0,Africa
155,Ukraine,UKR,2015,71.535,8961.0,44922000.0,Europe
156,United Arab Emirates,ARE,2015,77.285,74746.0,9263000.0,Asia
157,United Kingdom,GBR,2015,81.05199999999999,36941.0,65860000.0,Europe
158,United States,USA,2015,78.91,52591.0,320878016.0,North America
159,Uruguay,URY,2015,77.369,19244.0,3412000.0,South America
160,Uzbekistan,UZB,2015,70.928,9720.0,30930000.0,Asia
161,Venezuela,VEN,2015,72.584,18802.0,30082000.0,South America
162,Vietnam,VNM,2015,75.11,5763.0,92677000.0,Asia
163,Yemen,YEM,2015,66.085,2844.0,26498000.0,Asia
164,Zambia,ZMB,2015,61.736999999999995,3478.0,15879000.0,Africa
165,Zimbabwe,ZWE,2015,59.534,1560.0,13815000.0,Africa
